,SampleID,Spring,Winter,Spawning,CollectionDate,CollectionSite,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D20,D21,D22,TotalLength,WeightTotal,WeightGonad,GSI,WeightLiver,Sex,LeftGillRaker,RightGillRaker,RedGreenRatio,Age,corrected,ColorType,Age_SideA,Age_SideB,AgeConf,Diameter_SideA,Diameter_SideB,DiaConf,BetterSide,Notes,final.diameter,OtolSeason,FinalSpawningAssignment,Assigned,MorphConf_OtolConf,
31,17_002_Gm,0.93548626,0.06451374,Spring,6/4/17,Coastal_MarbleheadD,2.57711771,7.098559182,2.244499282,5.816130194,5.198737104,4.80030537,5.130576127,6.732001253,6.69243143,3.479788179,7.099673006,4.808177283,7.059839717,5.631155095,5.980370111,4.127871843,4.529483116,1.355668627,3.33241199,5.246462883,3.837504271,2.742407948,25.01130413,2170,20.19,0.930414747,68.17,Female,19,18,1.13,4,,Olive,4,4,5,2.54,2.666,5,B,,2.666,Winter,unknown,,high_low,
35,17_030_Gm,0.005501145,0.994498855,Winter,8/16/17,Coastal_MarbleheadF,2.106674619,5.641579357,1.445301191,5.433358891,5.23652471,4.794556922,5.638641865,7.271357482,6.256916306,3.567164657,7.340393357,5.508923346,7.766487684,6.259176037,6.87166116,4.391260693,5.037841755,1.603918572,3.883645198,5.725374609,4.391542676,3.235759952,25.45818626,2440,17.5,0.717213115,93.06,Male,21,22,1.15,4,,Olive,4,4,3,2.093,2.218,3,A,two dark bands close together at center and last band close to edge,2.093,Spring,unknown,,high_low,two dark bands close together at center and last band close to edge
37,17_033_Gm,0.800548544,0.199451456,Spring,8/16/17,Coastal_MarbleheadF,1.919366792,4.922303171,1.399656097,3.986328824,3.900954491,3.742285744,3.619008097,4.823246412,3.787376414,2.693031708,4.624491778,3.347716605,5.057377121,3.764206373,4.412141824,3.15914781,3.500205902,1.040224311,2.92393534,4.108355708,3.270114125,2.134577544,18.15187303,890,8.71,0.978651685,20.2,Female,19,19,1.09,3,,Olive,3,3,4,2.734,2.786,5,Both,,2.76,Winter,unknown,,med_med,
38,17_153_Gm,0.868012889,0.131987111,Spring,9/8/17,Coastal_MarbleheadB,1.44,4.35,1.44,4.07,3.63,3.26,3.77,4.7,3.88,3.1,5.06,3.66,5.01,4.15,4.83,3.29,3.57,1.04,2.86,3.98,3.24,2.09,17.94,960,3.09,0.321875,20.35,Female,NA,NA,1.22,2,,Olive,2,2,4,2.592,2.56,5,Both,,2.576,Winter,unknown,,med_low,
41,17_285_Gm,0.865605918,0.134394082,Spring,10/6/17,Stellwagon_Bank_A,3.06,7.66,2.57,5.72,5.14,4.69,4.85,6.41,5.36,3.98,6.52,4.67,7.57,5.43,6.36,4.6,5.02,1.38,3.53,6.38,4.04,3.13,25.91,2770,45.61,1.646570397,104.9,Male,NA,NA,1.06,3,,Olive,4,4,3,2.982,2.955,5,B,hard to read age,2.955,Winter,unknown,,med_med,hard to read age
43,17_287_Gm,0.801745015,0.198254985,Spring,10/6/17,Stellwagon_Bank_A,2.24,5.57,2.27,4.23,3.74,3.05,3.54,4.83,4.03,2.89,5.06,3.52,5.75,4.14,4.59,3.55,3.92,1.17,2.79,3.97,3.15,2.39,19.43,1170,4.41,0.376923077,17.47,Male,NA,NA,1.15,3,,Olive,3,3,5,2.804,2.717,5,A,,2.804,Winter,unknown,,med_med,
44,17_288_Gm,0.826270786,0.173729214,Spring,10/6/17,Stellwagon_Bank_A,2.91,7.51,2.42,6.44,5.18,4.66,5.45,7.33,6.28,4.43,7.14,4.84,7.71,6.4,7.27,4.52,4.92,1.45,4.2,6.45,4.7,3.05,27.76,3480,19.22,0.552298851,139.5,Male,NA,NA,1.06,4,,Olive,4,4,5,3.252,3.271,5,Both,,3.2615,Winter,unknown,,med_high,
45,17_289_Gm,0.979520082,0.020479918,Spring,10/6/17,Stellwagon_Bank_A,2.98,7.01,2.8,4.7,4.14,3.59,4.33,5.34,4.52,3.36,5.8,4.11,6.18,4.37,5.12,3.43,4.05,1.2,2.86,5,3.21,2.6,21.47,1640,5.58,0.340243902,78.72,Male,NA,NA,1.1,NA,,Olive,4,4,5,2.313,2.278,5,Both,,2.2955,Winter,unknown,Spring,high_low,
47,17_291_Gm,0.656731135,0.343268865,Spring,10/6/17,Stellwagon_Bank_A,2.49,6.4,2.46,4.93,4.29,3.55,4.63,6.13,5.45,3.2,6.2,4.54,7.16,5.98,6.28,3.7,4.48,1.44,2.85,5.48,4.04,2.78,23.38,2180,139.05,6.378440367,71.12,Male,NA,NA,1.11,NA,,Olive,4,4,5,3.482,3.416,5,Both,,3.449,Winter,unknown,Winter,low_high,
48,17_292_Gm,0.907466898,0.092533102,Spring,10/6/17,Stellwagon_Bank_A,2.85,7.29,2.63,5.52,4.63,4.03,4.74,6.56,6.35,3.69,6.86,4.58,7.12,5.74,6.18,5.04,5.27,1.4,4.16,5.4,4.75,2.92,26.37,2720,3.94,0.144852941,88.22,Male,24,22,1.09,NA,,Olive,3,3,5,2.915,2.89,5,Both,,2.9025,Winter,unknown,,high_med,
50,17_294_Gm,0.764006469,0.235993531,Spring,10/6/17,Stellwagon_Bank_A,3.14,8.03,2.42,6.63,5.91,5.61,5.4,7.24,6.57,4.11,7.73,5.4,8.53,6.25,6.74,4.68,5.14,1.48,3.59,6.55,4.24,3.42,28.33,4510,175.91,3.900443459,162.36,Female,20,19,1.07,NA,,Olive,5,5,5,2.787,2.832,5,Both,,2.8095,Winter,unknown,,med_med,folded fin
62,17_307_Gm,0.863205322,0.136794678,Spring,10/6/17,Stellwagon_Bank_A,2.38,5.9,2.09,4.55,4.11,3.65,4.16,5.27,4.57,2.78,5.4,3.79,5.99,4.59,4.86,3.34,3.6,1.03,2.54,4.57,3.01,2.32,20.15,1630,115.15,7.064417178,33.79,Male,23,22,1.05,NA,,Olive,4,4,5,3.576,3.695,5,A,,3.576,Winter,unknown,,med_high,
68,17_314_Gm,0.998534452,0.001465548,Spring,10/15/17,Coastal_MarbleheadB,1.68,4.38,1.57,3.74,2.69,2.36,3.3,4.07,3.48,1.91,4.07,3.02,5.05,3.99,4.29,3.11,3.47,0.91,2.75,4,2.96,1.98,17.02,630,5.21,0.826984127,7.97,Male,NA,19,1.13,NA,,Olive,2,2,5,2.821,2.865,5,Both,single dark ring in middle; don't think its an annulus,2.843,Winter,unknown,,high_med,single dark ring in middle; don't think its an annulus
69,17_324_Gm,0.611972766,0.388027234,Spring,10/19/17,Coastal_MarbleheadI,1.86,5.51,1.46,4.88,4.65,4.27,4.48,5.48,4.2,2.94,5.76,4.32,6.34,4.79,5.42,4.19,4.63,1.31,3.68,4.92,4.05,2.61,21.29,1610,147.43,9.157142857,53.46,Male,19,19,1.09,NA,,Olive,3,3,5,3.124,3.106,5,Both,,3.115,Winter,unknown,Winter,low_high,
70,17_325_Gm,0.789251991,0.210748009,Spring,10/19/17,Coastal_MarbleheadI,1.51,4.19,1.31,3.15,3.44,3.03,3.2,4.12,3.4,2.53,4.48,3.11,5.08,4,4.43,2.99,3.41,0.93,2.81,4.12,2.99,2.02,17.09,650,0.46,0.070769231,8.04,Male,20,18,1.02,NA,,Olive,3,3,5,2.638,2.583,5,B,,2.583,Winter,unknown,,med_low,
