SampleID,Age_SideA,Age_SideB,AgeConf,Diameter_SideA,Diameter_SideB,DiaConf,BetterSide,Notes
17_014_Gm,4,4,5,2.441,2.379,5,A,
17_015_Gm,3,3,1,2.858,2.85,5,Both,Hard to tell which is first annulus could be 4 year old
17_016_Gm,3,3,1,2.805,2.74,5,B,Hard to tell which is first annulus could be 4 year old
17_017_Gm,4,4,5,2.66,2.627,3,Both,cracked; second burned
17_018_Gm,,,,,,,,recut; second otolith fine
17_019_Gm,3,3,5,3.042,2.95,5,Both,
17_020_Gm,,,,,,,,recut; second burned
17_021_Gm,,,,,,,,recut; second crystalized
17_022_Gm,3,3,1,2.987,2.933,5,A,Hard to tell which is first annulus could be 4 year old
17_023_Gm,3,4,1,2.954,2.929,5,Both,Hard to tell which is first annulus could be 4 year old
17_024_Gm,2,2,3,2.889,2.904,5,Both,Hard to tell which is first annulus could be 3 year old
17_025_Gm,2,2,5,2.421,2.291,5,A,
17_026_Gm,,,,,,,,recut; second burned
17_027_Gm,2,2,5,2.971,2.928,5,A,
17_028_Gm,2,2,5,2.983,2.911,5,B,
17_029_Gm,2,2,3,2.835,2.864,5,Both,
17_030_Gm,4,4,3,2.093,2.218,3,A,two dark bands close together at center and last band close to edge
17_031_Gm,4,4,5,2.432,2.58,5,A,
17_032_Gm,3,3,3,2.774,2.728,5,Both,Hard to tell which is first annulus could be 4 year old
17_033_Gm,3,3,4,2.734,2.786,5,Both,
17_034_Gm,4,4,4,2.207,2.198,5,Both,
17_153_Gm,2,2,4,2.592,2.56,5,Both,
17_154_Gm,2,2,4,2.854,2.879,5,B,
17_155_Gm,3,3,5,2.966,2.842,5,Both,
17_156_Gm,3,3,5,3.073,3.332,5,A,
17_284_Gm,3,3,4,3.101,3.065,5,B,dark circle in the middle but only a single ring
17_285_Gm,4,4,3,2.982,2.955,5,B,hard to read age
17_286_Gm,4,4,4,2.751,2.696,5,B,
17_287_Gm,3,3,5,2.804,2.717,5,A,
17_288_Gm,4,4,5,3.252,3.271,5,Both,
17_289_Gm,4,4,5,2.313,2.278,5,Both,
17_290_Gm,4,4,5,1.892,1.89,5,Both,
17_291_Gm,4,4,5,3.482,3.416,5,Both,
17_292_Gm,3,3,5,2.915,2.89,5,Both,
17_294_Gm,5,5,5,2.787,2.832,5,Both,
17_295_Gm,,,,,,,,
17_296_Gm,4,4,5,2.848,2.837,5,Both,
17_297_Gm,,,,,,,,
17_298_Gm,3,3,5,3.222,3.152,5,Both,
17_300_Gm,,,,,,,,
17_301_Gm,3,3,5,3.224,3.259,5,Both,
17_302_Gm,,,,,,,,
17_303_Gm,5,5,5,3.989,3.837,5,B,
17_304_Gm,4,4,5,2.327,2.406,5,B,
17_305_Gm,3,3,5,3.572,3.626,5,A,
17_306_Gm,4,4,5,3.433,3.296,5,Both,
17_307_Gm,4,4,5,3.576,3.695,5,A,
17_308_Gm,4,4,5,2.679,2.794,4,B,cracked in middle but doesn't seem to affect measurement
17_309_Gm,3,3,5,2.508,2.577,5,Both,
17_311_Gm,4,4,5,2.64,2.742,5,Both,
17_313_Gm,3,3,5,3.196,3.082,5,Both,
17_314_Gm,2,2,5,2.821,2.865,5,Both,single dark ring in middle; don't think its an annulus
17_315_Gm,1,1,5,3.107,3.089,5,A,
17_316_Gm,1,1,5,2.789,2.795,5,Both,
17_317_Gm,3,3,5,3.039,3.12,5,Both,
17_318_Gm,1,1,5,2.619,2.838,5,Both,
17_319_Gm,2,2,5,2.616,2.664,5,A,
17_320_Gm,2,2,5,2.695,2.782,5,A,
17_321_Gm,1,1,5,3.285,3.242,5,A,
17_322_Gm,2,2,5,2.87,2.73,5,Both,
17_323_Gm,2,2,5,3.287,3.251,5,Both,
17_324_Gm,3,3,5,3.124,3.106,5,Both,
17_325_Gm,3,3,5,2.638,2.583,5,B,
17_326_Gm,3,3,3,2.95,2.883,5,B,
17_327_Gm,4,4,5,1.813,1.762,5,Both,
17_328_Gm,2,2,1,2.85,2.821,5,B,
