"","SampleID","Age_SideA","Age_SideB","AgeConf","Diameter_SideA","Diameter_SideB","DiaConf","BetterSide","Notes","final.diameter","season"
"25","16_239_Gm",3,3,5,3.487,3.733,3,"Both","Faint inner band hard to estimate edges",3.61,"Winter"
"26","16_240_Gm",3,3,5,2.672,2.656,5,"B","",2.656,"Winter"
"27","16_241_Gm",6,6,5,1.212,1.233,5,"A","",1.212,"Spring"
"28","16_242_Gm",5,5,5,2.366,2.424,5,"A","",2.366,"Winter"
"29","16_243_Gm",3,3,5,2.691,2.626,5,"B","",2.626,"Winter"
"30","16_244_Gm",3,3,5,2.843,2.816,5,"A","",2.843,"Winter"
"31","16_245_Gm",3,3,5,2.689,2.725,5,"Both","",2.707,"Winter"
"32","16_246_Gm",3,3,5,2.828,2.908,5,"Both","",2.868,"Winter"
"33","16_247_Gm",3,3,5,2.761,2.724,5,"Both","",2.7425,"Winter"
"34","16_248_Gm",3,3,3,1.91,1.901,3,"Both","Very difficult to read otolith",1.9055,"Spring"
"35","16_249_Gm",3,3,5,2.603,2.659,4,"A","Hard to read edges of first annulus",2.603,"Winter"
"36","17_001_Gm",4,4,4,2.584,2.62,5,"B","last year band close to edge of otolith",2.62,"Winter"
"37","17_002_Gm",4,4,5,2.54,2.666,5,"B","",2.666,"Winter"
"38","17_003_Gm",2,2,1,2.892,2.846,5,"Both","faint band in the center of otolith could be 3 year old",2.869,"Winter"
"39","17_004_Gm",NA,NA,NA,NA,NA,NA,"","recut; second burned",NA,NA
"40","17_005_Gm",2,2,5,2.404,2.506,5,"A","",2.404,"Winter"
"41","17_006_Gm",3,3,5,2.9,2.884,5,"A","",2.9,"Winter"
"42","17_007_Gm",3,3,5,2.668,2.628,5,"Both","Neither seem to reach the center",2.648,"Winter"
"43","17_008_Gm",3,3,5,2.477,2.419,5,"Both","",2.448,"Winter"
"44","17_009_Gm",2,2,5,2.391,2.371,5,"Both","",2.381,"Winter"
"45","17_010_Gm",3,3,5,2.554,2.579,5,"A","",2.554,"Winter"
"46","17_011_Gm",5,5,5,2.576,2.55,5,"Both","poor cut; no second otolith",2.563,"Winter"
"47","17_012_Gm",NA,NA,NA,NA,NA,NA,"","recut; second burned",NA,NA
"48","17_013_Gm",4,4,5,2.704,2.764,5,"Both","",2.734,"Winter"
"49","17_014_Gm",4,4,5,2.441,2.379,5,"A","",2.441,"Winter"
"50","17_015_Gm",3,3,1,2.858,2.85,5,"Both","Hard to tell which is first annulus could be 4 year old",2.854,"Winter"
"51","17_016_Gm",3,3,1,2.805,2.74,5,"B","Hard to tell which is first annulus could be 4 year old",2.74,"Winter"
"52","17_017_Gm",4,4,5,2.66,2.627,3,"Both","cracked; second burned",2.6435,"Winter"
"53","17_018_Gm",NA,NA,NA,NA,NA,NA,"","recut; second otolith fine",NA,NA
"54","17_019_Gm",3,3,5,3.042,2.95,5,"Both","",2.996,"Winter"
"55","17_020_Gm",NA,NA,NA,NA,NA,NA,"","recut; second burned",NA,NA
"56","17_021_Gm",NA,NA,NA,NA,NA,NA,"","recut; second crystalized",NA,NA
"57","17_022_Gm",3,3,1,2.987,2.933,5,"A","Hard to tell which is first annulus could be 4 year old",2.987,"Winter"
"58","17_023_Gm",3,4,1,2.954,2.929,5,"Both","Hard to tell which is first annulus could be 4 year old",2.9415,"Winter"
"59","17_024_Gm",2,2,3,2.889,2.904,5,"Both","Hard to tell which is first annulus could be 3 year old",2.8965,"Winter"
"60","17_025_Gm",2,2,5,2.421,2.291,5,"A","",2.421,"Winter"
"61","17_026_Gm",NA,NA,NA,NA,NA,NA,"","recut; second burned",NA,NA
"62","17_027_Gm",2,2,5,2.971,2.928,5,"A","",2.971,"Winter"
"63","17_028_Gm",2,2,5,2.983,2.911,5,"B","",2.911,"Winter"
"64","17_029_Gm",2,2,3,2.835,2.864,5,"Both","",2.8495,"Winter"
"65","17_030_Gm",4,4,3,2.093,2.218,3,"A","two dark bands close together at center and last band close to edge",2.093,"Spring"
"66","17_031_Gm",4,4,5,2.432,2.58,5,"A","",2.432,"Winter"
"67","17_032_Gm",3,3,3,2.774,2.728,5,"Both","Hard to tell which is first annulus could be 4 year old",2.751,"Winter"
"68","17_033_Gm",3,3,4,2.734,2.786,5,"Both","",2.76,"Winter"
"69","17_034_Gm",4,4,4,2.207,2.198,5,"Both","",2.2025,"Winter"
"70","17_153_Gm",2,2,4,2.592,2.56,5,"Both","",2.576,"Winter"
"71","17_154_Gm",2,2,4,2.854,2.879,5,"B","",2.879,"Winter"
"72","17_155_Gm",3,3,5,2.966,2.842,5,"Both","",2.904,"Winter"
"73","17_156_Gm",3,3,5,3.073,3.332,5,"A","",3.073,"Winter"
"74","17_284_Gm",3,3,4,3.101,3.065,5,"B","dark circle in the middle but only a single ring",3.065,"Winter"
"75","17_285_Gm",4,4,3,2.982,2.955,5,"B","hard to read age",2.955,"Winter"
"76","17_286_Gm",4,4,4,2.751,2.696,5,"B","",2.696,"Winter"
"77","17_287_Gm",3,3,5,2.804,2.717,5,"A","",2.804,"Winter"
"78","17_288_Gm",4,4,5,3.252,3.271,5,"Both","",3.2615,"Winter"
"79","17_289_Gm",4,4,5,2.313,2.278,5,"Both","",2.2955,"Winter"
"80","17_290_Gm",4,4,5,1.892,1.89,5,"Both","",1.891,"Spring"
"81","17_291_Gm",4,4,5,3.482,3.416,5,"Both","",3.449,"Winter"
"82","17_292_Gm",3,3,5,2.915,2.89,5,"Both","",2.9025,"Winter"
"83","17_294_Gm",5,5,5,2.787,2.832,5,"Both","",2.8095,"Winter"
"84","17_295_Gm",NA,NA,NA,NA,NA,NA,"","",NA,NA
"85","17_296_Gm",4,4,5,2.848,2.837,5,"Both","",2.8425,"Winter"
"86","17_297_Gm",NA,NA,NA,NA,NA,NA,"","",NA,NA
"87","17_298_Gm",3,3,5,3.222,3.152,5,"Both","",3.187,"Winter"
"88","17_300_Gm",NA,NA,NA,NA,NA,NA,"","",NA,NA
"89","17_301_Gm",3,3,5,3.224,3.259,5,"Both","",3.2415,"Winter"
"90","17_302_Gm",NA,NA,NA,NA,NA,NA,"","",NA,NA
"91","17_303_Gm",5,5,5,3.989,3.837,5,"B","",3.837,"Winter"
"92","17_304_Gm",4,4,5,2.327,2.406,5,"B","",2.406,"Winter"
"93","17_305_Gm",3,3,5,3.572,3.626,5,"A","",3.572,"Winter"
"94","17_306_Gm",4,4,5,3.433,3.296,5,"Both","",3.3645,"Winter"
"95","17_307_Gm",4,4,5,3.576,3.695,5,"A","",3.576,"Winter"
"96","17_308_Gm",4,4,5,2.679,2.794,4,"B","cracked in middle but doesn't seem to affect measurement",2.794,"Winter"
"97","17_309_Gm",3,3,5,2.508,2.577,5,"Both","",2.5425,"Winter"
"98","17_311_Gm",4,4,5,2.64,2.742,5,"Both","",2.691,"Winter"
"99","17_313_Gm",3,3,5,3.196,3.082,5,"Both","",3.139,"Winter"
"100","17_314_Gm",2,2,5,2.821,2.865,5,"Both","single dark ring in middle; don't think its an annulus",2.843,"Winter"
"101","17_315_Gm",1,1,5,3.107,3.089,5,"A","",3.107,"Winter"
"102","17_316_Gm",1,1,5,2.789,2.795,5,"Both","",2.792,"Winter"
"103","17_317_Gm",3,3,5,3.039,3.12,5,"Both","",3.0795,"Winter"
"104","17_318_Gm",1,1,5,2.619,2.838,5,"Both","",2.7285,"Winter"
"105","17_319_Gm",2,2,5,2.616,2.664,5,"A","",2.616,"Winter"
"106","17_320_Gm",2,2,5,2.695,2.782,5,"A","",2.695,"Winter"
"107","17_321_Gm",1,1,5,3.285,3.242,5,"A","",3.285,"Winter"
"108","17_322_Gm",2,2,5,2.87,2.73,5,"Both","",2.8,"Winter"
"109","17_323_Gm",2,2,5,3.287,3.251,5,"Both","",3.269,"Winter"
"110","17_324_Gm",3,3,5,3.124,3.106,5,"Both","",3.115,"Winter"
"111","17_325_Gm",3,3,5,2.638,2.583,5,"B","",2.583,"Winter"
"112","17_326_Gm",3,3,3,2.95,2.883,5,"B","",2.883,"Winter"
"113","17_327_Gm",4,4,5,1.813,1.762,5,"Both","",1.7875,"Spring"
"114","17_328_Gm",2,2,1,2.85,2.821,5,"B","",2.821,"Winter"
