"","SampleID","Spring","Winter","Spawning","CollectionDate","CollectionSite","TotalLength","WeightTotal","WeightGonad","WeightLiver","ColorType","Age_SideA","AgeConf","DiaConf","Notes","final.diameter","OtolSeason","FinalSpawningAssignment"
"71","16_215_Gm",NA,NA,NA,2016-06-10,"Coastal_MarbleheadA",18.24,NA,NA,NA,"Red",3,5,5,"",2.513,"Winter",NA
"72","16_217_Gm",NA,NA,NA,2016-06-10,"Coastal_MarbleheadA",21.7,NA,NA,NA,"Red",3,5,5,"",2.578,"Winter",NA
"73","16_218_Gm",NA,NA,NA,2016-06-10,"Coastal_MarbleheadB",26.63,NA,NA,NA,"Red",5,5,5,"",2.61,"Winter",NA
"74","16_219_Gm",NA,NA,NA,2016-06-10,"Coastal_MarbleheadB",13.58,NA,NA,NA,"Red",2,3,5,"last year band close to edge of otolith",3.1165,"Winter",NA
"75","17_001_Gm",NA,NA,NA,2017-06-04,"Coastal_MarbleheadD",21.23843411,1890,11.95,45.22,"Red",4,4,5,"last year band close to edge of otolith",2.62,"Winter",NA
"76","17_003_Gm",NA,NA,NA,2017-07-09,"Coastal_Marblehead",15.55047312,560,1.99,3.66,"Red",2,1,5,"faint band in the center of otolith could be 3 year old",2.869,"Winter",NA
"77","17_004_Gm",NA,NA,NA,2017-07-09,"Coastal_Marblehead",21.58144054,1290,14.06,41.36,"Red",NA,NA,NA,"recut; second burned",NA,NA,NA
"78","17_005_Gm",NA,NA,NA,2017-07-09,"Coastal_Marblehead",15.31478871,520,1.08,1.95,"Red",2,5,5,"",2.404,"Winter",NA
"79","17_006_Gm",NA,NA,NA,2017-07-09,"Coastal_Marblehead",16.67826466,760,NA,0.57,"Red",3,5,5,"",2.9,"Winter",NA
"80","17_007_Gm",NA,NA,NA,2017-07-09,"Coastal_Marblehead",17.26600058,970,3.9,10.76,"Red",3,5,5,"Neither seem to reach the center",2.648,"Winter",NA
"81","17_008_Gm",NA,NA,NA,2017-07-14,"Coastal_Ipswich_A",19.83093126,970,6.2,27.88,"Red",3,5,5,"",2.448,"Winter",NA
"82","17_010_Gm",NA,NA,NA,2017-07-14,"Coastal_Ipswich_B",17.81049175,690,2.7,8.05,"Red",3,5,5,"",2.554,"Winter",NA
"83","17_011_Gm",NA,NA,NA,2017-07-14,"Coastal_Ipswich_A",23.33862853,2020,6.52,90.31,"Red",5,5,5,"poor cut; no second otolith",2.563,"Winter",NA
"84","17_012_Gm",NA,NA,NA,2017-07-14,"Coastal_Ipswich_B",16.64375304,640,1.06,16.99,"Red",NA,NA,NA,"recut; second burned",NA,NA,NA
"85","17_013_Gm",NA,NA,NA,2017-07-14,"Coastal_Ipswich_B",21.98867349,1160,2.28,23.77,"Red",4,5,5,"",2.734,"Winter",NA
"86","17_014_Gm",NA,NA,NA,2017-07-14,"Coastal_Ipswich_B",23.86251055,2150,4.47,93.71,"Red",4,5,5,"",2.441,"Winter",NA
"87","17_015_Gm",NA,NA,NA,2017-07-14,"Coastal_Ipswich_B",19.29647318,1030,2.46,47.54,"Red",3,1,5,"Hard to tell which is first annulus could be 4 year old",2.854,"Winter",NA
"88","17_016_Gm",NA,NA,NA,2017-07-14,"Coastal_Ipswich_B",19.94389975,1270,2.63,60.7,"Red",3,1,5,"Hard to tell which is first annulus could be 4 year old",2.74,"Winter",NA
"89","17_018_Gm",NA,NA,NA,2017-07-14,"Coastal_Ipswich_C",15.74019767,490,1.85,6.99,"Red",NA,NA,NA,"recut; second otolith fine",NA,NA,NA
"90","17_019_Gm",NA,NA,NA,2017-07-14,"Coastal_Ipswich_C",21.51591004,1370,12.72,36.28,"Red",3,5,5,"",2.996,"Winter",NA
"91","17_020_Gm",NA,NA,NA,2017-07-14,"Coastal_Ipswich_C",20.22193211,1070,5.85,26.97,"Red",NA,NA,NA,"recut; second burned",NA,NA,NA
"92","17_021_Gm",NA,NA,NA,2017-07-19,"Burnham_Rocks",19.57822111,1310,2.42,46.03,"Red",NA,NA,NA,"recut; second crystalized",NA,NA,NA
"93","17_022_Gm",NA,NA,NA,2017-07-19,"Burnham_Rocks",14.72684494,580,3.6,9.2,"Red",3,1,5,"Hard to tell which is first annulus could be 4 year old",2.987,"Winter",NA
"94","17_023_Gm",NA,NA,NA,2017-07-19,"Burnham_Rocks",13.9653002,240,0.48,5.42,"Red",3,1,5,"Hard to tell which is first annulus could be 4 year old",2.9415,"Winter",NA
"95","17_024_Gm",NA,NA,NA,2017-07-20,"Coastal_MarbleheadE",16.61446389,930,0.78,21.97,"Red",2,3,5,"Hard to tell which is first annulus could be 3 year old",2.8965,"Winter",NA
"96","17_026_Gm",NA,NA,NA,2017-07-20,"Coastal_MarbleheadE",28.319563,3960,34.19,171.9,"Red",NA,NA,NA,"recut; second burned",NA,NA,NA
"97","17_027_Gm",NA,NA,NA,2017-07-20,"Coastal_MarbleheadE",16.06373296,720,0.66,15.22,"Red",2,5,5,"",2.971,"Winter",NA
"98","17_028_Gm",NA,NA,NA,2017-07-20,"Coastal_MarbleheadE",19.8549375,1300,6.31,33.22,"Red",2,5,5,"",2.911,"Winter",NA
"99","17_029_Gm",NA,NA,NA,2017-07-20,"Coastal_MarbleheadE",13.70704364,430,1.03,8.62,"Red",2,3,5,"",2.8495,"Winter",NA
"100","17_031_Gm",NA,NA,NA,2017-08-16,"Coastal_MarbleheadF",23.55302016,2250,17.5,93.06,"Red",4,5,5,"",2.432,"Winter",NA
"101","17_034_Gm",NA,NA,NA,2017-08-16,"Coastal_MarbleheadF",27.14461701,3460,58.33,141.14,"Red",4,4,5,"",2.2025,"Winter",NA
"102","17_154_Gm",NA,NA,NA,2017-09-08,"Coastal_MarbleheadB",15.61,690,2.46,7.57,"Red",2,4,5,"",2.879,"Winter",NA
"103","17_155_Gm",NA,NA,NA,2017-09-08,"Coastal_MarbleheadB",22.2,1890,132.18,56.4,"Red",3,5,5,"",2.904,"Winter",NA
"104","17_301_Gm",NA,NA,NA,2017-10-06,"Stellwagon_Bank_A",25.01,NA,NA,NA,"Red",3,5,5,"",3.2415,"Winter",NA
"105","17_315_Gm",NA,NA,NA,2017-10-15,"Coastal_MarbleheadB",12.8,320,0.59,5.42,"Red",1,5,5,"",3.107,"Winter",NA
"106","17_316_Gm",NA,NA,NA,2017-10-15,"Coastal_MarbleheadB",13.54,380,0.25,5.46,"Red",1,5,5,"",2.792,"Winter",NA
"107","17_317_Gm",NA,NA,NA,2017-10-19,"Coastal_MarbleheadB",15.05,470,14.39,4.36,"Red",3,5,5,"",3.0795,"Winter",NA
"108","17_318_Gm",NA,NA,NA,2017-10-19,"Coastal_MarbleheadB",11.89,290,0,3.71,"Red",1,5,5,"",2.7285,"Winter",NA
"109","17_319_Gm",NA,NA,NA,2017-10-19,"Coastal_MarbleheadB",13.45,100,1.1,5.98,"Red",2,5,5,"",2.616,"Winter",NA
"110","17_320_Gm",NA,NA,NA,2017-10-19,"Coastal_MarbleheadH",22.3,1910,27.87,61.07,"Red",2,5,5,"",2.695,"Winter",NA
"111","17_321_Gm",NA,NA,NA,2017-10-19,"Coastal_MarbleheadH",11.99,320,0,7.24,"Red",1,5,5,"",3.285,"Winter",NA
"112","17_323_Gm",NA,NA,NA,2017-10-19,"Coastal_MarbleheadI",16.85,1340,2.51,8.38,"Red",2,5,5,"",3.269,"Winter",NA
"113","17_326_Gm",NA,NA,NA,2017-10-19,"Coastal_MarbleheadA",24.58,2250,78.22,100.26,"Red",3,3,5,"",2.883,"Winter",NA
"114","17_327_Gm",NA,NA,NA,2017-10-19,"Coastal_MarbleheadA",21.78,1480,64.38,38.58,"Red",4,5,5,"",1.7875,"Spring",NA
"115","17_328_Gm",NA,NA,NA,2017-10-19,"Coastal_MarbleheadA",16.42,700,0.34,8.01,"Red",2,1,5,"",2.821,"Winter",NA
"116","16_222_Gm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,5,"",2.121,"Spring",NA
"117","17_322_Gm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,5,"",2.8,"Winter",NA
